Zip Code,2023,2024,YoY Change,%change
92377,432,624,192,0.444444444
92378,7,11,4,0.571428571
92382,96,118,22,0.229166667
92384,,1,1,NaN
92385,13,16,3,0.230769231
92386,19,25,6,0.315789474
92391,34,36,2,0.058823529
92392,871,1237,366,0.420206659
92393,12,13,1,0.083333333
92394,483,713,230,0.476190476
92395,522,727,205,0.392720307
92397,117,151,34,0.290598291
92398,10,16,6,0.6
92399,1069,1394,325,0.304022451
92401,8,12,4,0.5
92402,1,2,1,1
92403,,,0,NaN
92404,512,695,183,0.357421875
92405,248,317,69,0.278225806
92406,2,2,0,0
92407,1113,1499,386,0.346810422
92408,200,257,57,0.285
92410,264,395,131,0.496212121
92411,120,167,47,0.391666667
92413,5,4,-1,-0.2
92415,13,22,9,0.692307692
92423,10,11,1,0.1
92427,5,6,1,0.2
92501,428,553,125,0.292056075
92502,5,26,21,4.2
92503,2155,2827,672,0.311832947
92504,1133,1514,381,0.336275375
92505,888,1145,257,0.289414414
92506,1683,2092,409,0.243018419
92507,1286,1643,357,0.277604977
92508,1466,1906,440,0.300136426
92509,1194,1656,462,0.386934673
92513,2,5,3,1.5
92514,4,3,-1,-0.25
92516,10,7,-3,-0.3
92517,11,13,2,0.181818182
92518,69,327,258,3.739130435
92519,4,4,0,0
92521,9,8,-1,-0.111111111
92530,1202,1551,349,0.290349418
92531,7,10,3,0.428571429
92532,1511,2179,668,0.44209133
92536,78,101,23,0.294871795
92539,31,50,19,0.612903226
92543,302,428,126,0.417218543
92544,527,677,150,0.284629981
92545,554,830,276,0.498194946
92546,3,7,4,1.333333333
92548,87,154,67,0.770114943
92549,65,93,28,0.430769231
92551,421,636,215,0.510688836
92552,6,10,4,0.666666667
92553,698,973,275,0.393982808
92554,1,1,0,0
92555,1214,1579,365,0.300658979
92556,3,2,-1,-0.333333333
92557,1002,1347,345,0.344311377
92561,47,66,19,0.404255319
92562,2233,2873,640,0.286609942
92563,3198,4128,930,0.290806754
92564,16,21,5,0.3125
92567,113,161,48,0.424778761
92570,704,948,244,0.346590909
92571,766,1160,394,0.514360313
92572,11,10,-1,-0.090909091
92581,10,11,1,0.1
92582,364,495,131,0.35989011
92583,252,400,148,0.587301587
92584,2416,3272,856,0.354304636
92585,896,1204,308,0.34375
92586,356,483,127,0.356741573
92587,589,732,143,0.24278438
92589,29,35,6,0.206896552
92590,252,302,50,0.198412698
92591,1768,2348,580,0.328054299
92592,3624,4634,1010,0.278697572
92593,10,13,3,0.3
92595,841,1123,282,0.335315101
92596,1617,2262,645,0.398886827
92602,3941,4945,1004,0.254757676
92603,2604,3160,556,0.213517665
92604,1919,2365,446,0.232412715
92605,5,3,-2,-0.4
92606,1877,2471,594,0.31646244
92607,22,28,6,0.272727273
92609,7,12,5,0.714285714
92610,1250,1534,284,0.2272
92612,2201,2944,743,0.33757383
92614,2426,3123,697,0.287304204
92615,16,19,3,0.1875
92616,12,15,3,0.25
92617,687,840,153,0.222707424
92618,9498,12089,2591,0.272794272
92619,51,60,9,0.176470588
92620,6663,8238,1575,0.236380009
92623,33,39,6,0.181818182
92624,366,461,95,0.259562842
92625,1511,1729,218,0.144275314
92626,2496,3204,708,0.283653846
92627,2261,2826,565,0.249889429
92628,10,10,0,0
92629,1830,2207,377,0.206010929
92630,4450,5681,1231,0.276629213
92637,663,842,179,0.269984917
92645,1,1,0,0
92646,2923,3632,709,0.242559015
92647,2180,2661,481,0.220642202
