 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
WESTLAKE,4.16kV,No,557,13,2,0,10,160,0,160,158,022600403,WESTLAKE 0403,Peninsula,6/2/2025 1:21:05 AM
DAIRYLAND,12kV,No,135,45,5,379,1,6370,2290,8660,159,252421102,DAIRYLAND 1102,Yosemite,6/2/2025 1:21:05 AM
LAMONT,12kV,No,758,186,105,81,13,1820,930,2750,160,253911107,LAMONT 1107,Kern,6/2/2025 1:21:05 AM
PALO SECO,4.16kV,No,605,12,3,0,3,1050,80,1130,161,013180401,PALO SECO 0401,East Bay,9/30/2025 9:13:12 PM
GONZALES,12kV,Yes,325,59,18,14,2,4190,2250,6440,162,182131103,GONZALES 1103,Central Coast,6/2/2025 1:21:05 AM
KNIGHTS LANDING,12kV,Yes,525,184,24,139,4,2400,160,2560,163,062721102,KNIGHTS LANDING 1102,Sacramento,6/2/2025 1:21:05 AM
CHOWCHILLA,12kV,No,1256,165,59,0,11,2690,210,2900,164,254101105,CHOWCHILLA 1105,Yosemite,6/2/2025 1:21:05 AM
WEST LANE,12kV,No,1493,259,82,2,9,2730,270,3000,165,163621101,WEST LANE 1101,Stockton,6/2/2025 1:21:05 AM
MORAGA,12kV,No,892,201,43,0,12,2020,210,2230,166,013801102,MORAGA 1102,Diablo,6/2/2025 1:21:05 AM
VALLEY HOME,17kV,No,269,51,11,301,2,9080,1920,11000,167,162981703,VALLEY HOME 1703,Yosemite,6/2/2025 1:21:05 AM
ROSSMOOR,12kV,No,2163,179,47,0,8,2810,210,3020,168,014161106,ROSSMOOR 1106,Diablo,6/2/2025 1:21:05 AM
OAKLAND L,12kV,No,7,17,13,0,0,0,0,0,169,012111115,OAKLAND L 1115,East Bay,6/2/2025 1:21:05 AM
PAUL SWEET,21kV,No,5753,631,148,0,17,3940,510,4450,170,083252108,PAUL SWEET 2108,Central Coast,6/2/2025 1:21:05 AM
ESQUON,12kV,Yes,82,41,1,139,1,1940,520,2460,171,102171102,ESQUON 1102,North Valley,6/2/2025 1:21:05 AM
CAMDEN,12kV,Yes,271,31,11,214,6,4230,1120,5350,172,252301105,CAMDEN 1105,Fresno,6/2/2025 1:21:05 AM
WOODWARD,21kV,Yes,1848,191,55,64,7,16870,3310,20180,173,255292108,WOODWARD 2108,Fresno,6/2/2025 1:21:05 AM
SAN CARLOS,12kV,Yes,3343,312,172,0,28,3480,1400,4880,174,024181103,SAN CARLOS 1103,Peninsula,6/2/2025 1:21:05 AM
MARINA (F),4.16kV,Yes,640,7,1,0,9,40,0,40,175,022780403,MARINA (F) 0403,San Francisco,6/2/2025 1:21:05 AM
STOREY,12kV,No,1465,121,12,62,4,6390,1190,7580,176,254611108,STOREY 1108,Yosemite,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,0,1,7,0,0,0,0,0,177,022801132,LARKIN (Y) 1132,San Francisco,6/2/2025 1:21:05 AM
MADERA,12kV,Yes,449,41,26,74,1,4710,440,5150,178,252761116,MADERA 1116,Yosemite,6/2/2025 1:21:05 AM
UKIAH,12kV,No,748,328,106,26,6,1960,1750,3710,179,042771111,UKIAH 1111,Humboldt,6/2/2025 1:21:05 AM
NOTRE DAME,12kV,No,1868,192,162,2,9,6030,4200,10230,180,102041103,NOTRE DAME 1103,North Valley,6/2/2025 1:21:05 AM
OLEMA,12kV,No,1800,355,27,43,3,2460,490,2950,181,042291101,OLEMA 1101,Sonoma,6/2/2025 1:21:05 AM
SF K,4.16kV,No,1487,84,13,0,7,250,50,300,182,022130408,SF K 0408,San Francisco,6/2/2025 1:21:05 AM
SAN RAFAEL,12kV,No,4050,428,60,0,4,3690,540,4230,183,042011108,SAN RAFAEL 1108,Sonoma,6/2/2025 1:21:05 AM
DEL MONTE,12kV,No,3294,127,24,0,10,2670,120,2790,184,182222101,DEL MONTE 2101,Central Coast,6/2/2025 1:21:05 AM
KERN OIL,12kV,No,1875,170,88,0,6,2560,1210,3770,185,252721109,KERN OIL 1109,Kern,6/2/2025 1:21:05 AM
SF E,4.16kV,No,1247,66,7,0,1,280,40,320,186,022070405,SF E 0405,San Francisco,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,Yes,190,1,5,0,0,8180,0,8180,187,022031111,POTRERO PP (A) 1111,San Francisco,6/2/2025 1:21:05 AM
